job_id,skill
JOB-1,Data Engineering
JOB-1,Redshift
JOB-1,TensorFlow
JOB-1,Airflow
JOB-2,Kafka
JOB-2,Machine Learning
JOB-2,Statistics
JOB-2,Spark
JOB-2,PyTorch
JOB-2,Snowflake
JOB-3,dbt
JOB-3,AWS
JOB-3,BigQuery
JOB-3,SQL
JOB-4,TensorFlow
JOB-4,NLP
JOB-4,Python
JOB-4,Statistics
JOB-5,Excel
JOB-5,ETL
JOB-5,Python
JOB-6,PyTorch
JOB-6,NumPy
JOB-6,TensorFlow
JOB-7,Spark
JOB-7,PyTorch
JOB-7,AWS
JOB-7,Deep Learning
JOB-7,Excel
JOB-8,Airflow
JOB-8,PyTorch
JOB-8,SQL
JOB-8,Redshift
JOB-9,Machine Learning
JOB-9,SQL
JOB-9,dbt
JOB-10,ETL
JOB-10,Deep Learning
JOB-10,Python
JOB-11,Snowflake
JOB-11,Redshift
JOB-11,Pandas
JOB-12,Redshift
JOB-12,ETL
JOB-12,GCP
JOB-12,NLP
JOB-12,Azure
JOB-13,Spark
JOB-13,NLP
JOB-13,TensorFlow
JOB-13,Kafka
JOB-13,Power BI
JOB-14,Excel
JOB-14,Deep Learning
JOB-14,TensorFlow
JOB-15,BigQuery
JOB-15,SQL
JOB-15,Machine Learning
JOB-15,Azure
JOB-15,Python
JOB-15,Data Engineering
JOB-16,Airflow
JOB-16,Machine Learning
JOB-16,Pandas
JOB-16,AWS
JOB-16,NLP
JOB-17,Machine Learning
JOB-17,Azure
JOB-17,Statistics
JOB-18,ETL
JOB-18,Deep Learning
JOB-18,Machine Learning
JOB-18,Statistics
JOB-19,PyTorch
JOB-19,Excel
JOB-19,Machine Learning
JOB-19,Spark
JOB-20,AWS
JOB-20,Deep Learning
JOB-20,Pandas
JOB-20,PyTorch
JOB-21,GCP
JOB-21,SQL
JOB-21,Tableau
JOB-22,AWS
JOB-22,BigQuery
JOB-22,NumPy
JOB-22,Snowflake
JOB-23,dbt
JOB-23,Python
JOB-23,GCP
JOB-23,PyTorch
JOB-23,Tableau
JOB-24,Kafka
JOB-24,GCP
JOB-24,NLP
JOB-24,Pandas
JOB-24,AWS
JOB-24,Data Engineering
JOB-25,Machine Learning
JOB-25,Data Engineering
JOB-25,PyTorch
JOB-25,Pandas
JOB-26,TensorFlow
JOB-26,Spark
JOB-26,Machine Learning
JOB-26,Data Engineering
JOB-26,NumPy
JOB-27,Azure
JOB-27,ETL
JOB-27,Deep Learning
JOB-28,Snowflake
JOB-28,Python
JOB-28,Machine Learning
JOB-28,Tableau
JOB-28,PyTorch
JOB-28,SQL
JOB-29,Data Engineering
JOB-29,PyTorch
JOB-29,Redshift
JOB-30,AWS
JOB-30,Power BI
JOB-30,Azure
JOB-30,Machine Learning
JOB-30,NumPy
JOB-30,PyTorch
JOB-31,NLP
JOB-31,Redshift
JOB-31,Tableau
JOB-31,Data Engineering
JOB-32,Azure
JOB-32,Deep Learning
JOB-32,Machine Learning
JOB-32,Kafka
JOB-33,SQL
JOB-33,Kafka
