job_id,job_title,company,country,region,platform,experience_level,employment_type,salary_min_usd,salary_max_usd,remote_option,posting_date,applicants_estimate
JOB-1,Senior Data Engineer,Netflix,Spain,Europe,Wellfound,Lead,Part-time,163731,171017,Hybrid,52:59.3,472
JOB-2,Data Engineer,Snowflake,India,Asia,Indeed,Mid,Contract,145213,153462,Hybrid,52:59.3,500
JOB-3,Business Intelligence Analyst,IBM,Netherlands,Europe,Monster,Entry,Contract,87206,121991,Onsite,52:59.3,34
JOB-4,Data Scientist,Nvidia,Netherlands,Europe,Indeed,Lead,Full-time,104392,130952,Remote,52:59.3,26
JOB-5,AI Engineer,Netflix,Germany,Europe,Company Site,Mid,Part-time,162767,186131,Hybrid,52:59.3,303
JOB-6,Data Scientist,Deloitte,Spain,Europe,Indeed,Lead,Full-time,143250,153069,Remote,52:59.3,176
JOB-7,Senior Data Engineer,Infosys,France,Europe,Wellfound,Lead,Part-time,108091,141413,Onsite,52:59.3,11
JOB-8,Senior Data Analyst,TCS,France,Europe,Indeed,Entry,Full-time,73666,90902,Hybrid,52:59.3,359
JOB-9,Senior Data Engineer,Netflix,Ireland,Europe,LinkedIn,Senior,Part-time,159140,184664,Remote,52:59.3,25
JOB-10,Senior Data Engineer,Nvidia,United Kingdom,Europe,Company Site,Entry,Contract,143722,169624,Remote,52:59.3,596
JOB-11,Senior Data Analyst,Uber,Spain,Europe,Wellfound,Entry,Full-time,55300,85444,Remote,52:59.3,67
JOB-12,Data Scientist,Databricks,UAE,Middle East,Wellfound,Lead,Part-time,105013,124363,Onsite,52:59.3,250
JOB-13,Senior Data Scientist,Meta,Brazil,South America,Glassdoor,Lead,Contract,86501,98948,Hybrid,52:59.3,517
JOB-14,Senior Data Analyst,SAP,Ireland,Europe,Monster,Mid,Contract,80538,96068,Remote,52:59.3,182
JOB-15,Analytics Engineer,Snowflake,Ireland,Europe,Glassdoor,Senior,Part-time,171362,196934,Hybrid,52:59.3,227
JOB-16,AI Engineer,Infosys,France,Europe,Wellfound,Senior,Part-time,133902,154649,Onsite,52:59.3,319
JOB-17,Senior Data Scientist,Amazon,Ireland,Europe,Indeed,Entry,Full-time,136028,156363,Remote,52:59.3,166
JOB-18,Business Intelligence Analyst,Amazon,Australia,Oceania,Company Site,Senior,Full-time,83096,106445,Remote,52:59.3,326
JOB-19,Analytics Engineer,Stripe,United States,North America,Indeed,Mid,Contract,112153,121238,Hybrid,52:59.3,509
JOB-20,Business Intelligence Analyst,Salesforce,United States,North America,LinkedIn,Lead,Contract,64480,95154,Onsite,52:59.3,101
JOB-21,Data Analyst,IBM,Singapore,Asia,LinkedIn,Entry,Full-time,62735,92419,Hybrid,52:59.3,33
JOB-22,Senior Data Scientist,Deloitte,India,Asia,Company Site,Senior,Full-time,143688,178044,Onsite,52:59.3,121
JOB-23,Senior Data Engineer,Databricks,France,Europe,Wellfound,Mid,Contract,96519,105521,Onsite,52:59.3,130
JOB-24,Senior Data Scientist,Databricks,United States,North America,Company Site,Lead,Part-time,133650,165592,Hybrid,52:59.3,70
JOB-25,Analytics Engineer,TCS,Netherlands,Europe,Company Site,Entry,Part-time,149255,162911,Onsite,52:59.3,58
JOB-26,Analytics Engineer,Salesforce,Spain,Europe,Monster,Entry,Full-time,177041,204326,Remote,52:59.3,449
JOB-27,Analytics Engineer,IBM,Spain,Europe,Company Site,Entry,Contract,139904,168145,Hybrid,52:59.3,458
JOB-28,Data Scientist,Deloitte,India,Asia,Indeed,Mid,Full-time,92203,122653,Remote,52:59.3,294
JOB-29,Data Scientist,Snowflake,Australia,Oceania,Company Site,Mid,Part-time,102966,122855,Onsite,52:59.3,541
JOB-30,Data Engineer,IBM,Singapore,Asia,Wellfound,Senior,Full-time,167733,183672,Onsite,52:59.3,318
JOB-31,Senior Data Engineer,IBM,Canada,North America,Wellfound,Mid,Full-time,130592,136856,Remote,52:59.3,594
JOB-32,Business Intelligence Analyst,Databricks,Ireland,Europe,Company Site,Lead,Part-time,51419,85334,Onsite,52:59.3,431
JOB-33,Machine Learning Engineer,Databricks,United Kingdom,Europe,Monster,Senior,Full-time,152315,167380,Remote,52:59.3,16
JOB-34,Senior Data Engineer,Deloitte,United States,North America,Glassdoor,Mid,Full-time,160422,190667,Hybrid,52:59.3,307
JOB-35,Machine Learning Engineer,IBM,United Kingdom,Europe,Monster,Entry,Contract,115522,140099,Remote,52:59.3,31
JOB-36,AI Engineer,Amazon,Germany,Europe,LinkedIn,Mid,Contract,113225,129529,Hybrid,52:59.3,375
JOB-37,Data Analyst,Accenture,Netherlands,Europe,Monster,Entry,Full-time,75686,103529,Onsite,52:59.3,448
JOB-38,Data Scientist,Uber,United States,North America,Company Site,Mid,Full-time,132520,143962,Remote,52:59.3,297
JOB-39,Machine Learning Engineer,Databricks,Canada,North America,Company Site,Mid,Full-time,107580,140029,Onsite,52:59.3,163
JOB-40,Data Engineer,Uber,UAE,Middle East,Indeed,Entry,Part-time,147775,160220,Hybrid,52:59.3,86
JOB-41,Analytics Engineer,Accenture,United Kingdom,Europe,Indeed,Lead,Contract,146981,153408,Hybrid,52:59.3,530
JOB-42,Senior Data Analyst,Stripe,United Kingdom,Europe,Monster,Lead,Full-time,45920,64852,Remote,52:59.3,211
JOB-43,Analytics Engineer,Nvidia,Germany,Europe,LinkedIn,Senior,Contract,178421,194044,Remote,52:59.3,241
JOB-44,Analytics Engineer,Netflix,Netherlands,Europe,Monster,Mid,Contract,103605,126024,Onsite,52:59.3,173
JOB-45,Data Engineer,Oracle,Netherlands,Europe,Indeed,Entry,Part-time,128806,150515,Hybrid,52:59.3,428
JOB-46,Machine Learning Engineer,Google,Germany,Europe,LinkedIn,Entry,Contract,106388,111879,Hybrid,52:59.3,216
JOB-47,AI Engineer,TCS,United States,North America,Monster,Senior,Part-time,151182,169328,Remote,52:59.3,484
JOB-48,AI Engineer,Capgemini,France,Europe,Glassdoor,Senior,Full-time,162124,173353,Remote,52:59.3,524
JOB-49,Senior Data Analyst,TCS,UAE,Middle East,LinkedIn,Lead,Full-time,46355,51753,Hybrid,52:59.3,153
JOB-50,Senior Data Scientist,Microsoft,Canada,North America,Indeed,Senior,Full-time,123355,137603,Hybrid,52:59.3,471
JOB-51,Senior Data Analyst,Uber,Spain,Europe,Company Site,Entry,Full-time,55323,78650,Remote,52:59.3,270
JOB-52,Senior Data Scientist,Amazon,United Kingdom,Europe,Indeed,Mid,Full-time,89624,112475,Onsite,52:59.3,23
JOB-53,Business Intelligence Analyst,Airbnb,UAE,Middle East,Glassdoor,Senior,Full-time,56445,72450,Onsite,52:59.3,415
JOB-54,Business Intelligence Analyst,Databricks,Ireland,Europe,Monster,Mid,Contract,65648,77789,Remote,52:59.3,444
JOB-55,Senior Data Scientist,Nvidia,Australia,Oceania,LinkedIn,Mid,Full-time,93569,101788,Hybrid,52:59.3,297
